station_id,station_name,latitude,longitude,city,state,country,operator,network,status,access_type,total_charging_points,avg_power_kw,max_power_kw,total_sessions,total_energy_kwh,avg_session_duration_minutes,avg_session_cost,weather_records_count,traffic_records_count,anomaly_count,last_session_date,created_at,updated_at
461155,Key Chrysler Dodge Jeep Ram,43.3155252,-70.99527714,Rochester,New Hampshire,United States,(Unknown Operator),,Partly Operational (Mixed),,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451164,2025-10-21T02:16:01.451164
461156,Key GMC of Rochester,43.31462844,-70.99564133,Rochester,New Hampshire,United States,InCharge (US),,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.45116,2025-10-21T02:16:01.451161
461157,University Place Library,47.22577302,-122.53568884,University Place,Washington,United States,(Unknown Operator),,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451157,2025-10-21T02:16:01.451157
461164,Clawson Shopping Center,42.53229695,-83.16402908,Clawson,MI,United States,EVGateway,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451154,2025-10-21T02:16:01.451154
461165,Heilmann Community Center,42.44076244,-82.96274857,Detroit,MI,United States,EV Connect,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.45115,2025-10-21T02:16:01.451151
461166,Gladwin City Hall,43.98144185,-84.4976514,Gladwin,MI,United States,Red E Charge,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451147,2025-10-21T02:16:01.451147
461167,Pats Food Freeland,43.52019243,-84.11980871,Freeland,MI,United States,Red E Charge,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451144,2025-10-21T02:16:01.451144
461170,Hamilton Market St,39.40063825,-84.5627713,Hamilton,OH,United States,ChargePoint,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451141,2025-10-21T02:16:01.451141
461171,Hamilton CNG Filling Station,39.37427666,-84.54853875,Hamilton,OH,United States,ChargePoint,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451138,2025-10-21T02:16:01.451138
461251,Sunshine Gardens,37.66164472,-122.43944326,South San Francisco,CA,United States,(Unknown Operator),,Planned For Future Date,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451134,2025-10-21T02:16:01.451135
461252,D & 3rd Street Curbside,38.58713467,-121.51062258,West Sacramento,CA,United States,ChargePoint,,Planned For Future Date,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451131,2025-10-21T02:16:01.451131
461275,Goodwill,44.93859995,-93.34792957,St. Louis Park,MN,United States,(Unknown Operator),,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451128,2025-10-21T02:16:01.451128
461307,Fas Mart,42.98939748,-86.19357964,Grand Haven,MI,United States,Red E Charge,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451125,2025-10-21T02:16:01.451125
461370,Miller Hill Super One,46.80974807,-92.17022785,Duluth,MN,United States,ZEF Energy,,Operational,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.451121,2025-10-21T02:16:01.451121
461511,Sleep Inn & Suites Monroe - Woodbury,41.35714173,-74.195866,Monroe,NY,United States,Tesla (including non-tesla),,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451118,2025-10-21T02:16:01.451118
461541,Fox Kia South,42.91289485,-85.56573258,Grand Rapids,michigan,United States,ChargePoint,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451115,2025-10-21T02:16:01.451115
461543,Garcia Bend Park,38.479037,-121.54283431,Sacramento,CA,United States,ChargePoint,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451112,2025-10-21T02:16:01.451112
461546,"Pilot Travel Center #1051 Iowa, LA",30.25353893,-93.01454131,Iowa,LA,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.451109,2025-10-21T02:16:01.451109
461547,"Pilot Travel Center #1047 Jacksonville, FL",30.37167954,-81.7646687,Jacksonville,FL,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.451105,2025-10-21T02:16:01.451106
461548,"Pilot Travel Center #374 Marianna, FL",30.72521949,-85.18655441,Marianna,FL,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.451102,2025-10-21T02:16:01.451103
461549,"ONE9 Travel Center #7937 Mcleansville, NC",36.06035414,-79.66262588,Mcleansville,NC,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451099,2025-10-21T02:16:01.451099
461550,"Flying J Travel Center #706 Tulsa, OK",36.16147782,-95.83201225,Tulsa,OK,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451096,2025-10-21T02:16:01.451096
461551,Berkeley Bowl (West),37.85387117,-122.29068218,Berkeley,CA,United States,Electrify America,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451092,2025-10-21T02:16:01.451093
461553,Ventura County Credit Union,34.26455723,-119.21060702,Ventura,CA,United States,Electrify America,,Operational,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.451089,2025-10-21T02:16:01.45109
461554,The Bite Tumalo,44.14711145,-121.33133899,Tumalo,OR,United States,Rivian Adventure Network,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451086,2025-10-21T02:16:01.451086
461627,"T/A Travel Center #0057 - Redding, CA",40.5053427,-122.33454995,Redding,CA,United States,BP Pulse (US),,Planned For Future Date,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451083,2025-10-21T02:16:01.451083
461628,Petro Corning #309,39.90589207,-122.1972271,Corning,CA,United States,BP Pulse (US),,Planned For Future Date,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.45108,2025-10-21T02:16:01.45108
461629,In-N-Out Burger - Redding,40.58538871,-122.34905976,Redding,CA,United States,Mercedes-Benz High-Power Charging (US),,Planned For Future Date,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451076,2025-10-21T02:16:01.451077
